map	sentences	rate	ABC	P	Q	R	S
11.png	西大和団地からベルクに向かって進み、そのまま通り過ぎて四つ目の右側角、しまむらまで行ったら行き過ぎです	2.8	A	0	0	1	0
11.png	西大和団地とベルクの前の道をしまむら方面に向かって進み、４つ目の角のしまむら側にある。	3.257142857	A	0	0	1	0
11.png	しまむらからベルクに向かって通じる道路の左手を進み、緩やかに道なりに右へカーブする地点のちょうど左側。	3.142857143	A	0	0	1	0
11.png	しまむらを左に見た状態で道を進み、最初に左に曲がる道が見えたらその場所です。	2.971428571	A	0	0	1	0
11.png	西大和団地の隣にあるベルクビルと駅の裏のしまむらが面する通りのちょうど真中の駅側。	2.6	A	0	0	0	1
11.png	駅とベルクの間	0.542857143	A	0	0	0	1
11.png	しまむらを直進して左側にあります。西大和団地とベルクを直進してしまむら前の最後の右角にあります。	2.857142857	A	0	0	1	0
11.png	大道路を西大和団地からベルクS方面に向かいカーブしたところの駅方面の路地角	2.942857143	A	0	0	1	0
11.png	西大和団地の通りをベルクに向かって進んで、道なりに左折してすぐのところです。しまむらが先に見えます。####	2.8	A	0	0	1	0
11.png	場所は、しまむらの通り沿いにあります。道路を挟んで斜め向かいには、ベルクというスーパーがあります。	2.514285714	A	1	0	0	0
11.png	大通りを進んでいき、しまむらとベルクの間の中間地点に所在する	2.428571429	A	0	0	1	1
11.png	ベルクを左手に見ながら道なりに進み、左へカーブしながら右前方にしまむらが見えるあたりの角。	2.828571429	A	0	0	1	0
11.png	進行方向の左手側に見える西大和団地を通り越し、そこまで直線だった道が少し左へカーブした所の道路の右手側。その地点の右手奥には駅が見え、通り越した先に「しまむら」がある。	2.857142857	A	0	0	1	0
11.png	左手に西大和団地をすぎ、ベルクをぬけて左へとカーブする右手	2.942857143	A	0	0	1	0
11.png	道沿いの右手にしまむらがあり、少し離れて道を挟んだ反対側にの左手にベルクが位置する	2.571428571	A	1	0	0	0
11.png	ベルクとしまむらのある広い道に位置しています。『くの時に曲がった道』の しまむらがある側の、しまむら寄りに位置しています。	2.971428571	A	0	0	0	1
11.png	西大和団地と隣のベルクの前の通りをしまむら方向に進み、左に緩くカーブする所の向かい側に目的地はあります。	3	A	0	0	1	0
11.png	ベルクとしまむらを結ぶ道路の中間地点にあるカーブの高速道路側	2.542857143	A	0	0	0	1
11.png	西大和団地の近くベルクを背にしまむら##方面に道なりに進むと途中にある	2.428571429	A	0	0	1	0
11.png	道路の右側に立って、正面にしまむらがあり、道路の反対側左の後ろにベルクがある。	2.2	A	1	0	0	0
11.png	前方にしまむらが見え、後方にベルクが見え、周辺は西大和団地などの団地群に囲まれている。	1.8	A	1	0	0	0
11.png	ベルクと西大和団地の間の通りをベルクを左側に見て、前に進み丁字路を左折して、道なりにしばらくしたら右側	2.742857143	A	0	0	1	0
11.png	西大和団地からベルクを方面に大通りを進んで左斜めに緩く曲がった先が目的の場所。	2.657142857	A	0	0	1	0
11.png	しまむらの前の通りを進んで曲がり角の所。ベルクがある所の手前あたり。	2.571428571	A	0	0	1	0
11.png	西大和団地とベルクを左手に見ながら道なりに進み、ゆるやかな左コーナーがある地点	3.028571429	A	0	0	1	0
11.png	しまむらとベルクの中間ぐらい。通り沿いでしまむら側	2.714285714	A	0	0	0	1
11.png	西大和団地とベルク沿いの通りをしまむら方面に向かっていき、しまむらの手前の右折できる道路を曲がった地点	3.114285714	A	0	0	1	0
11.png	大通り沿いにあるベルクとしまむらの中間あたりで、大通りのしまむらがある方向にターミナルがあります	2.714285714	A	0	0	0	1
11.png	しまむらを左手にまっすぐ進み、通りすぎて最初に左側に見える路地を入ったすぐの場所。または、ベルクを左手にまっすぐ進み、ベルクを過ぎて右側に見える4本目の道を右折してすぐの場所。	3.4	A	0	0	1	0
11.png	ベルクからしまむら方面に進み、少し道が曲がった所の位置です	2.828571429	A	0	0	1	0
11.png	駅前の大通り沿いです。駅前のしまむらをベルク方向に歩いてきて、しまむら側の一本目の側道あたりです。	3	A	0	0	1	0
11.png	西大和団地とベルクを左手に見ながら、しまむら方向に進み、ベルクから数えて5本目、しまむらの手前の右折路の角。	2.8	A	0	0	1	0
11.png	西大和団地からベルク方面に歩き、しまむらに向かう曲がり角の右手が目的地です。	2.771428571	A	0	0	1	0
11.png	駅を背にして、左手の先にベルクが見え、右手道並びにしまむら。そのしまむらからベルク方面に歩いた最初の筋の角。	3.085714286	A	1	0	1	0
11.png	しまむらさんとペルクさんの真ん中ぐらいの場所　##しまむらさんから直線にペルクさんの方へ進み少し斜めになる手前あたり	3.2	A	0	0	1	1
11.png	大通りを、左手に西大和団地とベルクを見ながら、しまむらの方へ進む途中の右側	2.542857143	A	0	0	1	0
11.png	右手にしまむらがあり、ベルクがある通りからしまむらに歩いてきたときに、道がカーブする場所。	2.485714286	A	0	0	1	0
11.png	スーパーのベルクを左手に見ながら前方に高速道路を見ながら進み、しまむらが見えたらその手前の右側に曲がれる道路のところ	2.742857143	A	0	0	1	0
11.png	しまむらからベルクに向かって道の駅側沿いに歩いて1本目の曲がり角	2.771428571	A	0	0	1	0
11.png	ベルクとしまむらのちょうど中間地点あたりで道路の駅側の地点	2.657142857	A	0	0	0	1
12.png	和光ICから理化学研究所に入り、そのまままっすぐに前進していくと見えてくる噴水の少し先	2.828571429	A	0	0	1	0
12.png	和光インターチェンジを降りてから、大通りで理化学研究所の裏側に所在する	1.742857143	A	0	0	0	1
12.png	理化学研究所の敷地内にあって、Aの形状の道路の右肩の部分の場所	1.685714286	A	0	0	0	1
12.png	本田Ｒ＆Ｄを背にして和光ＩＣ側から理化学研究所方向。	1.771428571	A	0	0	0	1
12.png	和光ICを背にして、左手に本田R＆Dを見ながら進み、最初の角を右に曲がる	2.142857143	A	0	0	1	0
12.png	理化学研究所敷地内、広い道路側、噴水手前、噴水に向かって左側。	2.514285714	A	0	1	0	0
12.png	和光ICを出て交差点を右折し本田R&D付近で右折、突き当りを右方向に進むとあります。	2.485714286	A	0	0	1	0
12.png	私は本田R&Dの前の大通りに立っています。前方に理化学研究所のロータリーが見えると思います。そこが目的地です。	2.371428571	A	0	1	0	0
12.png	理化学研究所と本田R＆Dの間の丸付近、理化学研究所と本田R＆Dの間の丸付近	1.971428571	A	0	0	0	1
12.png	理化学研究所の一番大きな建物沿いの通路を大通りに向かって歩き、池が見える広場の小さな建物の前。	2.542857143	A	0	0	1	0
12.png	理化学研究所のロータリーに位置し、すぐそばには丸い池があります。敷地に面した道路から少し入った所にそのロータリはあります。その対面には、本田の和光研究所があり、２大研究所の体を成しています。側には東京外環道路が走っており、和光インターチェンジの側なので自動車での便はとてもよいです。	2.628571429	A	1	0	0	0
12.png	和光ＩＣを背中にし、理化学研究所を正面に見て、理化学研究所の正面に池の本田ＲＤ側。	2.2	A	0	1	0	0
12.png	理化学研究所と和光ICの間の細い道を中央１方面に向かって陸橋に来たら理化学研究所の敷地沿いを進み入り口が来たら入って池方面に進んで池の手前すぐ##	2.628571429	A	0	0	1	0
12.png	本田R＆Dの前の細い道を入って行き、一つ目の角を理化学研究所の方に曲がり、道なりの進んだところ。	2.542857143	A	0	0	1	0
12.png	理化学研究所のそばの、ロータリーの所。本田R&Dの道路を挟んだ向かいあたり。	2.685714286	A	0	0	0	1
12.png	右斜め正面に本田R&Dがあり、後ろ手に理化学研究所がある。左手に池のようなものがある場所。	2.771428571	A	1	0	0	0
12.png	理化学研究所の前の広場の真ん中の細い道の手前の場所です。	1.857142857	A	0	1	0	0
12.png	理化学研究所内の池のほとり	1.914285714	A	0	0	0	1
12.png	理化学研究所内、本田R＆D前道路側、ロータリー内	2.285714286	A	0	0	0	1
12.png	理化学研究所内の池のある入り口近くにあり、Yの字に分かれる道の手前の場所です。	2.428571429	A	0	1	0	0
12.png	和光IC脇にある理化学研究所内の地点で、本田R&D側出入り口から入り、すぐ右に曲がる。するとちょっとした広場がある。その入口地点である。	2.628571429	A	0	0	1	1
12.png	理化学研究所内にある丸い池がある広場の高速道路から一番離れているところ	2.028571429	A	0	0	0	1
12.png	理化学研究所と本田R&Dと中央1に挟まれた道路の小さな池があるすぐ近くにあります。	2.657142857	A	0	0	0	1
12.png	理化学研究所の敷地の中です。大きい通りをホンダR&Dの前で右折し、またすぐ右に曲がって進むとあらわれるロータリーのところです。右手前に池が見えます。	3.228571429	A	0	0	1	0
12.png	本田R＆Dを背にして、前方丁字路の突き当りを右折して、突き当りのところ	2.428571429	A	0	0	1	0
12.png	和光ICの側道を下りて最初の交差点を右に曲がります。本田R&Dの建物に沿って直進し、道の反対側に1箇所だけある理化学研究所の入り口を進みます。すぐの三叉路を右に曲がり、池の手前が??になります。	3.142857143	A	0	0	1	0
12.png	理化学研究所の敷地内で、噴水のあるロータリーのところ。	2.628571429	A	0	0	0	1
12.png	和光インター近くの理化学研究所内の水場のそばです。本田R＆Ｄ側の入口から入り右折して少し進んだ先になります。##	2.857142857	A	0	0	1	1
12.png	和光ＩＣから理化学研究所への方向へすすみ突き当りのロータリーを回り終える左手	2.457142857	A	0	0	1	0
12.png	和光ICから本田R＆Dの方に向けてすすんだら、右に入る道があるので、入って右に進みロータリーの手前です。	2.714285714	A	0	0	1	0
12.png	理化学研究所を背に、泉を正面にして、Y字に分岐する通路の入り口がが目的の場所。	2.514285714	A	0	1	0	0
12.png	本田R＆D前、道路を挟んだ向いにある理化学研究所との間にある噴水のそば	2.942857143	A	0	1	0	1
12.png	本田r&dを前に見て理化学研修所を後ろに見た地点にある。##左右は地図に表記されていない	1.8	A	1	0	0	0
12.png	理化学研究所の建物を左手に見て、回廊のようになっている道の入口部分。	2.257142857	A	0	1	0	0
12.png	和光ICを背にして前方に進み理化学研究所側から左方向に位置します	2.228571429	A	0	0	1	0
12.png	和光ICからすぐ、理化学研究所敷地内の入り口ロータリー。ロータリーの中央に水があります。道路を挟んだ向かいには本田R＆Dがあります。	2.657142857	A	0	1	0	1
12.png	本田R&Dの前に大きな道路があり、反対側へ渡ると細い道があります。少し進むと道が二手に分かれており、右に進むと目的地があります。	2.828571429	A	0	0	1	0
12.png	近所に理化学研究所があり和光インターチェンジからアクセスが可能。そのほか周辺には武蔵御嶽陣社や本田R &##Dなどがある。	1.8	A	0	0	0	1
12.png	中央１の本田R&Dを左手に和光ICと反対に歩いていくと右折出来る歩道があるのでそこを右に曲がり、すぐを更に右に曲がります。##小さな噴水があるのでその手前が目的地です。	2.771428571	A	0	0	1	0
12.png	理化学研究所の中に位置し、丸い池に位置しています。二股にわかれている道の理化学研究所がある側に位置しています。	2.942857143	A	0	0	0	1
13.png	南池袋の首都高を背にしてニトリの左隣	2.771428571	A	0	1	0	0
13.png	この場所は、ニトリの隣にありますが、ニトリから大きな道路に沿って豊島岡女子学園側になります。すぐ近くにはコンビニもあります。	2.685714286	A	0	0	0	1
13.png	正面にニトリ、右手には高速道路、左斜め後ろにはファミリーマートがある場所。	2.714285714	A	1	0	0	0
13.png	●は、豊島岡女子学園からキュープラザやグランドシティホテルの方向に向かい、ニトリの手前のあります。	2.885714286	A	0	0	1	0
13.png	高速道路に向かって、マツモトキヨシ・ニトリの隣	1.885714286	A	0	1	0	0
13.png	前にマツモトキヨシがあり後ろを振り返ると右側にファミリーマートがある地点	1.857142857	A	1	0	0	0
13.png	ニトリ手前、まいばすけっと側道路の角の位置。豊島岡女子学園の道路2つ挟んだ先。##	2.285714286	A	0	1	0	0
13.png	ニトリの近くにあり立体道路の枝分かれ初めの位置	2	A	0	0	0	1
13.png	サンシャイン60を前方に見て直ぐ左にニトリ、豊島岡女学園を右方向道を2つ挟んで眺め、右後方にファミリーマートとセブンイレブンを 眺める高速道路沿いの道の角。	2.628571429	A	1	0	0	0
13.png	豊島岡女子学園からニトリにむかって進み、ニトリの手前のT字路の角。	3.085714286	A	0	0	1	0
13.png	道の向かいみセブンイレブンとファミリーマートがある。ニトリの隣のビルに位置しており、近くに豊島丘女子学園がある。	3	A	1	0	0	0
13.png	右側マツモトキヨシ、左側ヴィクトリアの間を女子学園方向に進んで、マツモトキヨシを通り過ぎた角。	2.4	A	0	0	1	0
13.png	高速のジャンクション付近で、同じ区画にニトリとマツモトキヨシがあり、はす向かいにファミリーマートがあります。	2.885714286	A	1	0	0	0
13.png	豊島岡女子学園をサントロペ側に直進したところにあります。あと、ニトリのとなりです。	2.457142857	A	0	0	1	0
13.png	豊島岡女子学園横の高速道路高架下道路をニトリ方面に進み、ニトリの方を向いて左側の場所。	2.771428571	A	0	0	1	0
13.png	池袋駅を出るとコンビニの方向に進みセブンイレブンから右折して豊島岡女子学園を左折すると道沿いニトリ手前にあります	2.285714286	A	0	0	1	0
13.png	サンシャイン６０内のハローワーク・郵便局側のから高速道路の高架をくぐるようにヴィクトリアとタイムズステーションの間の道を行き、道路を渡る。##ニトリの隣（豊島岡女子学園側）の角にある地点が目的地。	2.828571429	A	0	0	1	0
13.png	高架道路のほぼ真下にあたる。ニトリの隣である。	2.4	A	0	0	0	1
13.png	高速道路沿いにある豊島丘女子学園やニトリの建物が並ぶ地域にあり、ニトリと同じブロック内です	2.485714286	A	0	0	0	1
13.png	ユニクロからセガ方面に道沿いに行き大通をニトリ側に曲がりニトリの隣	2.428571429	A	0	0	1	0
13.png	池袋病院とキュープラザの間の通りを池袋病院を左側に見て、前方右側	2.342857143	A	0	1	0	0
13.png	ニトリのビルとヴィクトリアのある道路のニトリ側で、セブンイレブンとファミリーマートのある通り側の角。	2.571428571	A	0	0	0	1
13.png	すぐ隣にニトリがあり、目の前にには首都高速のサンシャインへの入り口出口があります。首都高を挟んだ向かい側にはビクトリアがあり、その奥にはサンシャインがそびえます。	2.828571429	A	1	0	0	0
13.png	ニトリとヴィクトリアの間、ニトリとヴィクトリアの間、ニトリとヴィクトリアの間	1.428571429	A	0	0	0	1
13.png	高速道路のジャンクション近くでニトリとヴィクトリアが対面しているが、ニトリ側からヴィクトリアを見て右側の角	2.771428571	A	0	1	0	0
13.png	三菱UFJ銀行と東京信金の間の道をパリミキのある交差点へ進み、ユニクロの方面へまっすぐ行くとニトリのビルが角にある、ニトリを見ながら右に曲がったニトリのビルの隣。	3.114285714	A	0	0	1	0
13.png	高速道路が通っている大通り沿いでニトリがある番地の豊島岡女子学園寄りの角	2.514285714	A	0	0	0	1
13.png	豊島岡女子学園からニトリの方向、サンシャインシティを右手に大きい通りを進む。ニトリの手前にある左へ曲がる道の角が目的地	3	A	0	0	1	0
13.png	サンシャインシティを右手に進み、五差路の交差点に着いたらニトリの手前を左に入ったところ	2.8	A	0	0	1	0
13.png	高速道路沿いの、ニトリの隣です。大きい交差点で向こう側にハローワークがあります。	2.685714286	A	1	0	0	1
13.png	高速道路沿いのニトリの脇です。脇道を入るとファミリーマートとセブンイレブンがあります。	2.914285714	A	0	0	1	1
13.png	高速道路を背にして目の前にマツモトキヨシとニトリがあるところ	1.714285714	A	0	1	0	1
13.png	マツモトキヨシ・ニトリの隣でヴィクトリアの斜め向かい，高速道路の立体交差付近に位置する．	2.657142857	A	0	1	0	0
13.png	サンシャインシティから首都高速のジャンクション下を渡った三叉路、豊島岡女子学園と反対方向の角。	2.514285714	A	0	0	1	0
13.png	サンシャイン６０を背にして、ニトリの左側	2.485714286	A	0	1	0	0
13.png	東池袋3と高速道路が交差した交差点からニトリ側に進んで、ニトリとファミリーマートの間の道ニトリ側、高速道路側角	2.828571429	A	0	0	1	0
13.png	マツモトキヨシ・ニトリの隣で、ファミリーマートの側の位置です	2.628571429	A	0	0	0	1
13.png	ニトリとヴィクトリアのある広い通りの、ニトリ側に位置している。ヴィクトリアを背にして豊島岡女子学園側の角に位置している。	2.857142857	A	0	1	0	1
13.png	三井住友の交差点を東京信金の方へ渡り、パリミキを右に見ながらユニクロとマツモトキヨシをとおりすぎるとニトリのビルがある交差点を右に曲がるとニトリの隣。	2.342857143	A	0	0	1	0
13.png	高速道路のジャンクションの目の前でニトリの隣で、ファミリーマートの向かい	2.8	A	0	0	0	1
14.png	東武池袋駅のロータリー付近です。東武会館があり、西口公園があります。	2.114285714	A	0	0	0	1
14.png	JR池袋駅から東武側へ出て、東武会館と建物の間を西口公園方面に進み、西口公園手前の東武会館を背にした地点	3.114285714	A	0	0	1	0
14.png	正面に東武会館、左手に西口公園、右手に東武、エソラを背面に置いた場所。	2.8	A	1	0	0	0
14.png	池袋の西口公園を背にしてエランを右手、東武会館を左に見た真正面	2.571428571	A	0	1	0	0
14.png	池袋池、西口公園側です。西口公園から駅を見た所にある、エゾラから、ルミネから反対方向の２つ目の建物の、西口公園側の位置です。	2.857142857	A	0	1	0	0
14.png	右側に東武百貨店池袋店が見え、前方にマクドナルドが見え、左側には池袋公園が見え、エソラやルミネを背にしている。	2.685714286	A	1	0	0	0
14.png	池袋駅前に東武百貨店があります。東武百貨店を背にして向かい側に東武会館があるんですが、東武会館の裏の路地を西口公園方面に進むと丁字路で突き当たります。その突き当り左手角地に●があります。	3.085714286	A	0	0	1	0
14.png	西口公園の中心点、東武会館、エソラの3点を頂点とした三角形の内側で、東武会館-エソラ間の直線と西口公園の中心点から垂直に降ろした直線が交差する直前	2.514285714	A	0	0	0	1
14.png	池袋駅前の東武百貨店を背に、右に東武会館、前方に西口公園があります。左は二本道の向こうにエソラがありエソラの周りにスパイス2、ルミネがあります。	3.085714286	A	0	1	0	0
14.png	ルミネとかまどかの間の通りをルミネを右側に見て、前方西口公園の前	2.371428571	A	0	1	0	0
14.png	東武池袋駅前の東武会館とエソラの間で前方に西口公園が見える交差点	2.542857143	A	1	0	0	0
14.png	エソラ、スパイ２、ルミネのある三叉路から、西口公園の方に西口公園を左に見ながら進んだところの西口公園の反対側にいます。東武会館の隣のブロックです。	3.2	A	0	0	1	0
14.png	池袋駅前の東武デパートを背にして立ち西口公園を見たときに東武会館の左隣りにある建物	2.542857143	A	0	1	0	0
14.png	池袋駅前の東武を背にして、東武会館の隣の建物の、西口公園側です。	2.828571429	A	0	1	0	0
14.png	東武会館と西口公園の間の道路に入ってルミネ方面に進んだ1つ目の路地付近	2.771428571	A	0	0	1	0
14.png	池袋署を右手に池袋駅へ向かいます。東京芸術劇場を右手に超えた先を右折し、右手に西口公園が見えたらそのまま右折します。##西口公園が右手に見えたまま左折するところがあるので、その一か所目と二か所目の間の手前の位置が目的地です。	2.485714286	A	0	0	1	0
14.png	池袋駅の東武デーパートの裏手にあるビルです。東武会館の隣で西口公園の向かい側でもあります。	2.971428571	A	1	0	0	0
14.png	ルミネを背にして東武会館と西口公園を挟んだ道を進み東武会館手前のブロックの位置	2.685714286	A	0	0	1	0
14.png	JR池袋駅から東武側に出たところにある場所で、東武と東武会館と西口公園に三方を囲まれている土地	2.514285714	A	0	0	0	1
14.png	池袋西口のビックカメラから西口公園と東武会館の間の道をルミネ方向に進むと、左手の一つ目の道路の次のブロックが●です。	2.942857143	A	0	0	1	0
14.png	東武会館と西口公園とエソラとD東武とに囲まれた内部に位置し、道路を挟んで西口公園と東武会館に近接した場所	3.028571429	A	0	0	0	1
14.png	池袋駅西口、駅を背にしてロータリー左側西口会館を過ぎた角を左折。1本目の路地の次の建物が目的地。西口公園の向い。	2.571428571	A	0	0	1	0
14.png	池袋駅を背にして西口公園側へ進み東部会館の左隣に位置する	2.685714286	A	0	0	1	0
14.png	右へ行くと右にスパイス2左にはエソラがあり、##左へ行くと東部会館、正面には西口公園があります。	2.314285714	A	1	0	0	0
14.png	西口公園を背にして東武会館の道を挟んで右隣また、エソラの建物の左側一件を挟んだ左側に目的の場所があります。	2.771428571	A	0	1	0	0
14.png	池袋駅東武側、西口公園向かい、細い路地に挟まれた地点。	2.171428571	A	0	0	0	1
14.png	東部会館とエソラの間にある2つの区画のうち、東部会館に近い方の区画内の西口公園側の場所。	3.028571429	A	0	0	0	1
14.png	池袋駅東武デパートと西口公園の間お土地で東武j会館の隣の区画が目的地である	2.4	A	0	0	0	1
14.png	左側に西口公園があり、前に東武会館が後ろにエソラがあり地点です	2.685714286	A	1	0	0	0
14.png	池袋駅近くで、東武デパートと西口公園との挟まれた位置にあり、隣には東武会館がある。	2.8	A	0	0	0	1
14.png	ウエストパークから見てビックカメラと西口公園の間の道を通り東部会館えを左に曲がり1件目の場所	2.457142857	A	0	0	1	0
14.png	池袋駅を東武側に出て、東武会館の角を左折。当部会間と通りを挟んだ左側の建物。	2.657142857	A	0	0	1	0
14.png	東武と西口公園の間のビル群のうち東武会館とエソラに挟まれた2つ目のビルのうち東武会館から1つ目、エソラからは2つ目のビルの西口公園に面した一画に丸印の場所はある	2.914285714	A	0	0	0	1
14.png	池袋駅の東武百貨店側で、マツモトキヨシや東武会館のある駅前広場で、駅を背にして左側の東武会館の隣のブロック、の西口公園側が目的地??です。	3.2	A	0	1	0	0
14.png	東武会館からエソラ側を見て、通路を挟んで右斜め前の端のところ。	2.114285714	A	0	1	0	0
14.png	JR池袋駅から東部デパートのほうを向き、西口公園の手前。##頭部会館とエソラの間。	2.514285714	A	0	1	0	1
14.png	池袋駅の東武D方面の東武開館の隣の建物で西口公園前	2.514285714	A	0	1	0	1
14.png	東武池袋駅をJRと反対方向、西口公園側に出て、東武会館の隣、ルミネの方向側にね、そこが目的の建物です	2.742857143	A	0	0	1	0
14.png	ぎっくカメラの前の東武会館と西口公園の間の通りを入って、最初の角の右のところ。	1.657142857	A	0	0	1	0
14.png	ルミネとスパイス2の間から、マクドナルドのほうを見て東武会館前方側。	2.342857143	A	0	1	0	0
15.png	池袋駅をマツモトキヨシの側に降りて、サンシティホテルの前の位置です。	3.228571429	A	0	1	0	0
15.png	左にはサンシティー・右には三軒先にフアミリーマート・##前にはマツモトキヨシ・後ろには西京信金がある。	2.6	A	1	0	0	0
15.png	JR池袋駅を東武側に出て右手に進み、マツモトキヨシの右側の路地を進んだ十字路の右正面に見える建物です。	2.828571429	A	0	0	1	0
15.png	駅のルミネが在る側の位置でマツモトキヨシとサンシティに囲まれた位置にある場所	2.714285714	A	0	0	0	1
15.png	池袋駅西口の交番から池袋駅を右手に見ながら線路方向に進むとサンシティに突き当たりますが、その左の角が●です。	2.714285714	A	0	0	1	0
15.png	池袋駅のサンシティとファミリーマートの道路を挟んだ通りの前の建物	2.371428571	A	0	0	0	1
